Gene_id,Gene_Chr,Gene_Start,Gene_End,Gene,RPKM
ENSG00000165972.12_2,12,96260826,96336752,CCDC38,0.021515996
ENSG00000165973.18_3,11,20691097,21597227,NELL1,0.010731655
ENSG00000165983.14_2,10,16478942,16555744,PTER,3.472831111
ENSG00000165985.9_2,10,16555742,16564004,C1QL3,0
ENSG00000165995.18_2,10,18429606,18830798,CACNB2,0.457572848
ENSG00000165996.13_3,10,17631031,17659376,HACD1,0.332362721
ENSG00000165997.4_2,10,18948334,18970568,ARL5B,4.239823207
ENSG00000166002.2,11,93211638,93276674,SMCO4,10.01593345
ENSG00000166004.14_3,11,93394805,93463524,CEP295,1.470112406
ENSG00000166006.12_2,12,75433857,75603648,KCNC2,0
ENSG00000166007.11_2,11,55059359,55065746,TRIM51HP,0
ENSG00000166008.5,X,148863584,148869397,MAGEA9,0
ENSG00000166012.16_3,11,93463114,93517557,TAF1D,5.16287813
ENSG00000166013.11_2,11,89575165,89584138,TRIM53BP,0
ENSG00000166016.5_3,11,34172535,34379555,ABTB2,0.830613479
ENSG00000166024.13_2,10,99894381,100004654,R3HCC1L,4.339687738
ENSG00000166025.17_2,11,94439597,94609918,AMOTL1,1.01060642
ENSG00000166033.11_2,10,124221041,124274424,HTRA1,8.250531785
ENSG00000166035.10_3,15,58702768,58862042,LIPC,0.109904237
ENSG00000166037.10_3,11,95523129,95565857,CEP57,6.374612883
ENSG00000166046.10_3,12,106695707,106740793,TCP11L2,4.756550789
ENSG00000166049.10_3,X,150732094,150845211,PASD1,0
ENSG00000166068.12_3,15,38544527,38649450,SPRED1,5.942301205
ENSG00000166069.13_3,15,38214140,38259925,TMCO5A,0.198386146
ENSG00000166073.10_3,15,40091233,40213093,GPR176,0.500849
ENSG00000166086.12_3,11,133938820,134021896,JAM3,1.050435298
ENSG00000166090.8_2,14,23842018,23845612,IL25,0
ENSG00000166091.19_2,14,23846017,23848981,CMTM5,0
ENSG00000166104.14_2,15,62520095,62545434,RP11-299H22.3,0.497209475
ENSG00000166105.15_3,11,134144139,134189458,GLB1L3,0.273884552
ENSG00000166106.3_2,11,130318869,130346536,ADAMTS15,1.164996533
ENSG00000166111.9_3,12,109301517,109459045,SVOP,0.024043194
ENSG00000166118.7_2,11,133710526,133715433,SPATA19,0
ENSG00000166123.13_3,16,46918290,46965209,GPT2,10.59862908
ENSG00000166126.10_3,14,103388993,103399933,AMN,19.54737924
ENSG00000166128.12_2,15,63481668,63559981,RAB8B,2.476193178
ENSG00000166130.14_2,12,99007183,99038891,IKBIP,1.703893192
ENSG00000166133.17_2,15,40861499,40867142,RPUSD2,4.108948339
ENSG00000166135.13_2,10,102288829,102319755,HIF1AN,7.273930363
ENSG00000166136.15_3,10,102283497,102289757,NDUFB8,28.57268244
ENSG00000166140.17_2,15,41099284,41107282,ZFYVE19,7.302111997
ENSG00000166143.9_2,15,41107643,41120907,PPP1R14D,1.044203552
ENSG00000166145.14_3,15,41136216,41150405,SPINT1,59.62844122
ENSG00000166147.13_3,15,48700503,48938046,FBN1,0.338858506
ENSG00000166148.3_2,12,63536539,63544722,AVPR1A,2.484208056
ENSG00000166152.3_2,16,49407734,49433342,C16orf78,0
ENSG00000166153.16_3,12,100597447,100660857,DEPDC4,0.374590861
ENSG00000166157.12,21,10906201,11029719,TPTE,0
ENSG00000166159.10_3,12,1929433,1945918,LRTM2,0
ENSG00000166160.9_2,X,153485225,153498755,OPN1MW2,0
ENSG00000166164.15_3,16,50347398,50402845,BRD7,6.900391598
ENSG00000166165.12_3,14,103985996,103989448,CKB,178.1702753
ENSG00000166166.12_2,14,103995521,104003410,TRMT61A,9.13989364
ENSG00000166167.17_2,10,103113790,103317078,BTRC,6.556401806
ENSG00000166169.16_3,10,103338639,103348027,POLL,6.895789249
ENSG00000166170.9_2,14,104022881,104029168,BAG5,10.26857114
ENSG00000166171.12_2,10,103330317,103369425,DPCD,33.41191151
ENSG00000166173.10_3,15,71121469,71146498,LARP6,4.795734888
ENSG00000166181.12_3,11,43333513,43366079,API5,19.0302435
ENSG00000166183.15_3,14,104552016,104581918,ASPG,0.86973099
ENSG00000166188.2_3,16,58028572,58034357,ZNF319,5.825407979
ENSG00000166189.7_2,10,103825147,103827795,HPS6,12.68964523
ENSG00000166192.14_3,15,72406599,72436029,SENP8,1.126515134
ENSG00000166197.16_3,10,103911933,103923628,NOLC1,19.22346354
ENSG00000166199.12_3,11,43902361,43941816,ALKBH3,4.731849996
ENSG00000166200.14_2,15,49398265,49447858,COPS2,4.912236445
ENSG00000166206.14_3,15,26788693,27184686,GABRB3,1.421691953
ENSG00000166211.7_2,12,101869199,101880775,SPIC,0.201322814
ENSG00000166220.12_2,10,72530995,72545157,TBATA,0
ENSG00000166224.16_3,10,72575717,72640930,SGPL1,17.33737425
ENSG00000166225.8_3,12,69864129,69973569,FRS2,3.603183538
ENSG00000166226.12_2,12,69979114,69995350,CCT2,23.93265707
ENSG00000166228.8_2,10,72642037,72648541,PCBD1,26.93397389
ENSG00000166233.14_3,15,72766667,72895326,ARIH1,3.834812443
ENSG00000166246.13_2,16,4784273,4799397,C16orf71,25.59318432
ENSG00000166250.11_3,11,122940573,123065989,CLMP,0.234738372
ENSG00000166257.8_3,11,123499895,123525952,SCN3B,0.060201137
ENSG00000166260.10_3,17,53029263,53046146,COX11,6.226081784
ENSG00000166261.10_3,11,123594885,123612383,ZNF202,2.755103544
ENSG00000166262.15_3,15,49619159,49913128,FAM227B,3.553799135
ENSG00000166263.13_3,17,53046088,53250993,STXBP4,1.295373761
ENSG00000166265.11_2,21,27838528,27945603,CYYR1,0.226780965
ENSG00000166266.13_2,11,107879459,107978503,CUL5,6.946443322
ENSG00000166268.10_3,12,70219084,70352877,MYRFL,0.767957413
ENSG00000166272.16_2,10,104503727,104576024,WBP1L,22.50493728
ENSG00000166275.15_3,10,104613980,104624718,BORCS7,14.49606037
ENSG00000166278.14_3,6,31865562,31913449,C2,6.329340521
ENSG00000166289.5_2,19,30155963,30166364,PLEKHF1,4.568999106
ENSG00000166292.11_3,17,53796988,53809482,TMEM100,0.019605766
ENSG00000166295.8_2,10,73975758,73995618,ANAPC16,25.34462866
ENSG00000166311.9_3,11,6411661,6416228,SMPD1,11.47774305
ENSG00000166313.18_3,11,6416354,6440644,APBB1,12.49980872
ENSG00000166317.11_2,10,75404639,75423561,SYNPO2L,0.049812435
ENSG00000166321.13_2,10,74870133,74891586,NUDT13,2.327790043
ENSG00000166323.12_2,11,108179246,108338258,C11orf65,1.26106691
ENSG00000166326.6_2,11,35684353,35839557,TRIM44,10.1035048
ENSG00000166329.2_2,17,55821842,55822673,CCDC182,0
ENSG00000166333.13_3,11,6624938,6632105,ILK,17.53057117
ENSG00000166337.9_3,11,6627526,6633898,TAF10,17.48533006
ENSG00000166340.15_3,11,6633994,6640692,TPP1,16.64125506
ENSG00000166341.7_2,11,6642554,6677085,DCHS1,0.132313879
ENSG00000166342.18_3,18,70409549,70535381,NETO1,0
ENSG00000166343.9_2,10,75183337,75193319,MSS51,0.870016997
ENSG00000166347.18_3,18,71918082,71959251,CYB5A,17.2886858
ENSG00000166348.18_3,10,75257296,75385711,USP54,12.50400565
ENSG00000166349.9_2,11,36532259,36614706,RAG1,0.273389426
ENSG00000166351.10_2,21,14982179,15013906,POTED,0
ENSG00000166352.15_3,11,36616043,36680840,C11orf74,16.67872099
ENSG00000166359.10_2,19,33622996,33666701,WDR88,0.928425143
ENSG00000166363.5_2,11,6866883,6867936,OR10A5,0.108110733
ENSG00000166368.2_2,11,6912721,6913830,OR2D2,0.051328249
ENSG00000166377.19_3,18,76829285,77138283,ATP9B,2.236233944
ENSG00000166387.11_3,11,7534529,7678358,PPFIBP2,3.776765326
ENSG00000166391.14_2,11,75428864,75444003,MOGAT2,2.188674233
ENSG00000166394.14_2,11,7686331,7698453,CYB5R2,1.955262344
ENSG00000166396.12_3,18,61420169,61472610,SERPINB7,1.85809429
ENSG00000166398.12_3,19,34745442,34846491,KIAA0355,3.177548226
ENSG00000166401.14_3,18,61637159,61687013,SERPINB8,3.446812625
ENSG00000166402.8_3,11,8040791,8127659,TUB,10.25996107
ENSG00000166405.14_3,11,8127640,8190602,RIC3,3.590195496
ENSG00000166407.13_2,11,8245851,8290263,LMO1,0.033712637
ENSG00000166408.4_2,11,7794437,7795361,OR5P1P,0
ENSG00000166411.13_3,15,78423840,78464291,IDH3A,10.12812584
ENSG00000166415.14_2,15,53805938,54055075,WDR72,0.468582842
ENSG00000166426.7_2,15,78632666,78640572,CRABP1,0
ENSG00000166428.12_2,14,105391153,105404127,PLD4,2.258584826
ENSG00000166432.14_2,X,101137260,101187004,ZMAT1,5.736106007
ENSG00000166435.15_3,11,74518784,74660245,XRRA1,4.524212863
ENSG00000166436.15_2,11,8633584,8693413,TRIM66,3.560897269
ENSG00000166439.5_3,11,74459913,74553458,RNF169,5.586006811
ENSG00000166441.12_3,11,8703958,8736306,RPL27A,35.18817988
ENSG00000166444.18_3,11,8714898,8932498,ST5,11.81472856
ENSG00000166446.14_3,16,80631803,80838226,CDYL2,0.412809406
ENSG00000166448.14_3,7,98444111,98468394,TMEM130,0.525390804
ENSG00000166450.12_3,15,55903744,56035288,PRTG,0
ENSG00000166451.13_3,16,81040103,81066719,CENPN,1.453101576
ENSG00000166452.11_3,11,8932686,8941631,AKIP1,7.542909345
ENSG00000166454.9_3,16,81069452,81080963,ATMIN,5.64557459
ENSG00000166455.13_3,16,81087102,81110872,C16orf46,9.615621581
ENSG00000166471.10_3,11,9302201,9336327,TMEM41B,9.521494641
ENSG00000166473.17_3,16,81134480,81253975,PKD1L2,0.009171169
ENSG00000166477.12_2,15,52230222,52264003,LEO1,5.593227214
ENSG00000166478.9_3,11,9481866,9550071,ZNF143,3.418730569
ENSG00000166479.9_2,18,66340925,66382535,TMX3,6.520307373
ENSG00000166482.11_2,17,19286755,19290553,MFAP4,1.019290296
ENSG00000166483.10_2,11,9595228,9615004,WEE1,7.529569114
ENSG00000166484.19_2,17,19281034,19286857,MAPK7,6.430996915
ENSG00000166492.9_2,11,3431582,3443726,FAM86GP,0.440069693
ENSG00000166501.12_3,16,23847322,24231932,PRKCB,0.136234388
ENSG00000166503.8_3,15,83781490,83876770,RP11-382A20.3,1.510856307
ENSG00000166507.17_3,10,75561669,75571556,NDST2,10.03233455
ENSG00000166508.17_3,7,99690351,99699563,MCM7,11.34680808
ENSG00000166509.10_2,16,78056412,78100658,CLEC3A,0
ENSG00000166510.13_2,18,52568740,52626739,CCDC68,2.034798439
ENSG00000166523.7_2,12,8685901,8693559,CLEC4E,0.329331539
ENSG00000166526.16_3,7,99661656,99680171,ZNF3,13.25620163
ENSG00000166527.7_2,12,8662071,8674962,CLEC4D,0.056606415
ENSG00000166529.14_2,7,99647397,99662661,ZSCAN21,5.444512085
ENSG00000166530.8_2,4,111173027,111173255,HSBP1P2,0
ENSG00000166532.15_3,12,8834196,8935691,RIMKLB,8.785116547
ENSG00000166535.19_2,12,8975068,9039597,A2ML1,0.382273512
ENSG00000166546.13_3,16,66461200,66527432,BEAN1,0.216192164
ENSG00000166548.15_3,16,66541906,66586447,TK2,6.020096931
ENSG00000166557.12_3,15,79603404,79719774,TMED3,4.341112356
ENSG00000166558.10_3,16,84043272,84076241,SLC38A8,0.250574409
ENSG00000166562.8_2,18,56806709,56826068,SEC11C,13.83626853
ENSG00000166569.8_2,18,56942388,56985881,CPLX4,0.016071751
ENSG00000166573.5_3,18,74962505,74989852,GALR1,0
ENSG00000166575.16_3,11,86748886,87034800,TMEM135,3.573640042
ENSG00000166578.9_2,12,113633246,113658899,IQCD,30.5021249
ENSG00000166579.15_2,17,8316449,8393729,NDEL1,6.026891367
ENSG00000166582.9_2,17,16245848,16256970,CENPV,4.856668219
ENSG00000166589.12_3,16,66942025,66952887,CDH16,0
ENSG00000166592.11_3,16,66955582,66959547,RRAD,192.4093021
ENSG00000166595.11_3,16,66965958,66968326,FAM96B,30.67030769
ENSG00000166596.14_3,17,9479944,9546776,CFAP52,61.59264801
ENSG00000166598.14_3,12,104323885,104347423,HSP90B1,104.4833243
ENSG00000166603.4_2,18,58038343,58040008,MC4R,0
ENSG00000166619.12_3,20,36120874,36156333,BLCAP,13.91596299
ENSG00000166634.6_2,18,61223393,61234244,SERPINB12,0
ENSG00000166664.13_3,15,30649969,30686052,CHRFAM7A,0.124998588
ENSG00000166669.13_3,16,10420291,10577495,ATF7IP2,4.007193421
ENSG00000166670.9_2,11,102641234,102651359,MMP10,6.433111334
ENSG00000166676.14_2,16,10854776,10912651,TVP23A,3.689685638
ENSG00000166681.13_3,X,102631268,102633005,BEX3,16.51201252
ENSG00000166682.10_2,11,113558272,113577095,TMPRSS5,0.406653933
ENSG00000166685.11_3,17,71188771,71204646,COG1,13.69977704
ENSG00000166689.15_3,11,16798864,17035990,PLEKHA7,9.409299126
ENSG00000166693.7_2,11,56364902,56365838,OR5M13P,0
ENSG00000166704.11_3,19,58488421,58514717,ZNF606,5.589232858
ENSG00000166707.10_2,X,103356822,103360537,ZCCHC18,0.117680878
ENSG00000166710.17_2,15,45003675,45011075,B2M,483.2527661
ENSG00000166716.9_3,15,85291866,85349663,ZNF592,7.522800426
ENSG00000166734.18_3,15,44580927,44707956,CASC4,26.98245817
ENSG00000166736.11_3,11,113845603,113861035,HTR3A,0.082214078
ENSG00000166741.7_3,11,114128509,114184007,NNMT,0.039036901
ENSG00000166743.9_3,16,20634559,20710212,ACSM1,1.389134427
ENSG00000166747.12_3,16,71762903,71843104,AP1G1,12.55200072
ENSG00000166750.9_2,17,33570055,33600674,SLFN5,13.16491219
ENSG00000166762.16_3,15,43920701,43960316,CATSPER2,2.196797744
ENSG00000166763.7_2,15,43991686,44010382,STRCP1,0.229907782
ENSG00000166770.10_2,19,56988619,57012035,ZNF667-AS1,0.447442589
ENSG00000166780.10_3,16,15528152,15718885,C16orf45,8.550788018
ENSG00000166783.21_3,16,15688243,15737023,KIAA0430,8.635640597
ENSG00000166787.3_2,11,18134019,18137679,SAA3P,0.043625081
ENSG00000166788.9_3,11,18091482,18127638,SAAL1,2.032147236
ENSG00000166793.10_2,11,57412560,57417417,YPEL4,0.229941348
ENSG00000166794.4_2,15,64448011,64455404,PPIB,103.6927322
ENSG00000166796.11_3,11,18433854,18473605,LDHC,0.027195397
ENSG00000166797.10_2,15,64364758,64386217,FAM96A,8.638880559
ENSG00000166800.9_2,11,18477371,18501147,LDHAL6A,0.209302546
ENSG00000166801.15_2,11,58910221,58922512,FAM111A,11.72073207
ENSG00000166803.11_3,15,64656510,64679886,PCLAF,0.442489645
ENSG00000166813.14_2,15,90152020,90198682,KIF7,0.552540748
ENSG00000166816.13_2,16,75145758,75150669,LDHD,7.716535327
ENSG00000166819.11_3,15,90207596,90222658,PLIN1,0.630214107
ENSG00000166821.8_3,15,90220995,90234014,PEX11A,4.482845127
ENSG00000166822.12_3,16,75476952,75499395,TMEM170A,7.934691401
ENSG00000166823.5_2,15,90291892,90294541,MESP1,1.563247429
ENSG00000166825.13_3,15,90328120,90358633,ANPEP,7.257768032
ENSG00000166828.2_2,16,23194036,23228204,SCNN1G,24.79935982
ENSG00000166831.8_2,15,65032091,65067786,RBPMS2,0
ENSG00000166833.19_3,11,19372271,20143144,NAV2,8.966552462
ENSG00000166839.16_3,15,65204101,65251042,ANKDD1A,2.232183172
ENSG00000166840.13_3,11,58672871,58811000,GLYATL1,0.094259045
ENSG00000166845.13_2,18,51884287,51911588,C18orf54,0.173874232
ENSG00000166847.9_3,16,23652713,23688776,DCTN5,5.467123279
ENSG00000166848.5_2,16,75681684,75795770,TERF2IP,18.80878794
ENSG00000166851.14_3,16,23688977,23701688,PLK1,3.279616308
ENSG00000166855.9_2,15,65440557,65477680,CLPX,7.146572801
ENSG00000166856.2_3,12,57388230,57392225,GPR182,0.033019042
ENSG00000166860.2_2,12,57392618,57400230,ZBTB39,2.419332472
ENSG00000166862.6_2,22,36959968,37099603,CACNG2,0
ENSG00000166863.11_3,12,57403784,57422667,TAC3,0.199084472
ENSG00000166866.12_3,12,57422301,57444982,MYO1A,0.224662288
ENSG00000166869.2_2,16,23765948,23770272,CHP2,3.791114808
ENSG00000166881.9_3,12,57449426,57481846,NEMP1,3.224021914
ENSG00000166884.2_2,11,59224411,59225464,OR4D6,0
ENSG00000166886.12_3,12,57482677,57489259,NAB2,7.079205733
ENSG00000166887.15_2,15,42450899,42500514,VPS39,11.20527501
ENSG00000166888.11_3,12,57489191,57525922,STAT6,46.25555783
ENSG00000166889.13_2,11,59404189,59436453,PATL1,7.138442023
ENSG00000166896.7_3,12,58335324,58351052,ATP23,1.597605767
ENSG00000166897.14_3,22,37764000,37823505,ELFN2,0.246529895
ENSG00000166900.15_3,11,59522532,59573355,STX3,5.731315326
ENSG00000166902.4_3,11,59573608,59578345,MRPL16,8.580021952
ENSG00000166908.17_3,12,57984957,57997201,PIP4K2C,18.05598348
ENSG00000166912.16_2,15,31231144,31283810,MTMR10,6.73650521
ENSG00000166913.12_3,20,43514317,43537173,YWHAB,24.17083022
ENSG00000166917.10_3,10,135059982,135061395,MIR202HG,0
ENSG00000166920.12_3,15,45722727,45740959,C15orf48,6.549009639
ENSG00000166922.8_2,15,32933877,32989299,SCG5,0.181612247
ENSG00000166923.10_2,15,33010175,33037308,GREM1,0.32376226
ENSG00000166924.8_2,7,100081550,100092422,NYAP1,1.104215773
ENSG00000166925.8_3,7,100060982,100076902,TSC22D4,17.61374111
ENSG00000166926.8_3,11,60102304,60164069,MS4A6E,0.026950973
ENSG00000166927.12_3,11,60145955,60163424,MS4A7,4.71728801
ENSG00000166928.10_3,11,60146003,60185229,MS4A14,0.803557447
ENSG00000166930.6_2,11,60197062,60222687,MS4A5,0
ENSG00000166938.12_3,15,66585555,66626236,DIS3L,6.440533838
ENSG00000166946.13_3,15,43477316,43489374,CCNDBP1,8.485360248
ENSG00000166947.11_3,15,43398423,43513481,EPB42,0.531515344
ENSG00000166948.9_2,20,2361554,2413399,TGM6,0
ENSG00000166949.15_3,15,67356101,67487533,SMAD3,14.10448237
ENSG00000166959.7_3,11,60467047,60483284,MS4A8,230.2575708
ENSG00000166960.16_3,18,30517366,31021065,CCDC178,0.528365539
ENSG00000166961.14_3,11,60524426,60544205,MS4A15,0.025956427
ENSG00000166963.12_3,15,43803156,43823818,MAP1A,18.00784175
ENSG00000166965.12_3,15,91498100,91506355,RCCD1,3.560180646
ENSG00000166971.16_3,16,53524952,53538323,AKTIP,7.234056581
ENSG00000166974.12_3,18,32556892,32723434,MAPRE2,4.282295874
ENSG00000166979.12_3,21,33784314,33887707,EVA1C,18.65769467
ENSG00000166984.11_2,6,167559902,167610401,TCP10L2,0
ENSG00000166986.14_3,12,57869228,57911352,MARS,12.64250265
ENSG00000166987.14_3,12,57914493,57923931,MBD6,23.06321136
ENSG00000166997.7_3,7,99717236,99723134,CNPY4,3.073162249
ENSG00000167004.12_2,15,44038590,44065477,PDIA3,99.83277833
ENSG00000167005.13_3,16,56463045,56486111,NUDT21,11.42549234
ENSG00000167011.8_2,7,100813774,100823557,NAT16,0
ENSG00000167014.10_3,15,45248900,45271427,TERB2,0.038314967
ENSG00000167034.9_2,8,23536206,23540440,NKX3-1,5.512804576
ENSG00000167037.18_2,22,25202136,25323545,SGSM1,1.949453692
ENSG00000167046.4_2,20,61272071,61274656,RP11-93B14.6,0.088423729
ENSG00000167065.13_3,22,31048038,31063877,DUSP18,16.66339881
ENSG00000167074.14_2,22,41763337,41795330,TEF,8.011452434
ENSG00000167077.12_3,22,42095503,42195460,MEI1,0.206007778
ENSG00000167080.8_2,17,47209822,47254202,B4GALNT2,0.505463824
ENSG00000167081.16_3,9,128509624,128729656,PBX3,2.880796554
ENSG00000167083.6_2,17,47280153,47287936,GNGT2,0.472256358
ENSG00000167085.11_2,17,47481411,47492267,PHB,22.46761028
ENSG00000167088.10_3,18,19192228,19213485,SNRPD1,4.903578231
ENSG00000167094.15_2,9,130478345,130493879,TTC16,17.64684537
ENSG00000167098.11_2,20,31571579,31592239,SUN5,0
ENSG00000167100.14_3,17,48187404,48207246,SAMD14,3.195468815
ENSG00000167103.11_2,9,130683158,130693076,PIP5KL1,1.49214492
ENSG00000167104.11_2,20,31619454,31631853,BPIFB6,0.220962599
ENSG00000167105.7_2,17,48348767,48358846,TMEM92,2.710002436
ENSG00000167106.11_2,9,130702858,130742792,FAM102A,48.6430242
ENSG00000167107.12_2,17,48503519,48552206,ACSF2,11.07643601
ENSG00000167110.17_3,9,131018108,131038274,GOLGA2,20.30238339
ENSG00000167112.9_3,9,131067440,131085021,TRUB2,4.818402704
ENSG00000167113.10_2,9,131084815,131096351,COQ4,32.76558068
ENSG00000167114.12_3,9,131102925,131123749,SLC27A4,7.382850671
ENSG00000167117.8_2,17,48838390,48844918,LINC00483,0
ENSG00000167118.10_2,9,131133598,131154295,URM1,10.10939542
ENSG00000167123.18_3,9,131174030,131199630,CERCAM,0.742857592
ENSG00000167130.17_3,9,131843379,131852717,DOLPP1,12.12193397
ENSG00000167131.16_3,17,42976510,42982758,CCDC103,17.31172033
ENSG00000167136.6_2,9,131580753,131584956,ENDOG,51.18941739
ENSG00000167139.8_2,15,74165949,74181555,TBC1D21,0.046471742
ENSG00000167157.10_2,9,132427920,132484953,PRRX2,4.063388493
ENSG00000167165.18_3,2,234600253,234681946,UGT1A6,3.981605595
ENSG00000167173.18_3,15,75487984,75504510,C15orf39,8.959835109
ENSG00000167178.15_3,15,74392652,74430881,ISLR2,0.018677055
ENSG00000167182.13_3,17,45973516,46006323,SP2,10.1739922
ENSG00000167183.2_2,17,46029333,46035244,PRR15L,23.70493297
ENSG00000167186.10_3,16,19078921,19091417,COQ7,9.735423989
ENSG00000167191.11_3,16,19868013,19897489,GPRC5B,9.836130808
ENSG00000167193.7_2,17,1323983,1366456,CRK,15.94306865
ENSG00000167194.7_2,16,30034655,30039057,C16orf92,0
ENSG00000167195.7_2,15,75550940,75562540,GOLGA6C,0
ENSG00000167196.13_3,15,76196200,76234851,FBXO22,2.353675782
ENSG00000167202.11_3,15,78276378,78370066,TBC1D2B,4.919531124
ENSG00000167207.11_3,16,50727514,50766988,NOD2,1.620899122
ENSG00000167208.14_2,16,50700211,50715264,SNX20,0.564396647
ENSG00000167210.16_2,18,44056935,44236996,LOXHD1,0.129487173
ENSG00000167216.16_3,18,44497455,44628614,KATNAL2,6.605118245
ENSG00000167220.11_3,18,44633774,44676891,HDHD2,6.049891788
ENSG00000167232.13_3,19,23487793,23578362,ZNF91,3.18929262
ENSG00000167244.18_3,11,2150342,2162468,IGF2,0.081925101
ENSG00000167257.10_3,11,117103341,117157161,RNF214,4.002973191
ENSG00000167258.13_2,17,37617764,37721160,CDK12,5.408393252
ENSG00000167261.13_3,16,68021297,68034489,DPEP2,2.809627347
ENSG00000167264.17_3,16,68021649,68113223,DUS2,2.063918989
ENSG00000167272.10_2,12,121016567,121019201,POP5,7.275832431
ENSG00000167280.16_3,17,77071021,77084681,ENGASE,9.109620876
ENSG00000167281.18_3,17,77085427,77512230,RBFOX3,0.046165791
ENSG00000167283.7_3,11,118271869,118302211,ATP5L,18.64048647
ENSG00000167286.9_2,11,118209669,118213459,CD3D,2.146504274
ENSG00000167291.15_3,17,77906142,78009647,TBC1D16,5.749208087
ENSG00000167302.10_3,17,79202077,79212891,TEPSIN,10.85168861
ENSG00000167306.19_3,18,47349183,47721463,MYO5B,14.34137115
ENSG00000167311.13_3,11,3659733,3663546,ART5,0.471697805
ENSG00000167315.17_3,18,47308537,47340330,ACAA2,1.347973729
ENSG00000167323.11_3,11,3875757,4114440,STIM1,17.63568083
ENSG00000167325.14_3,11,4115937,4160106,RRM1,7.808910457
ENSG00000167332.7_3,11,4701401,4719084,OR51E2,0.019837868
ENSG00000167333.12_3,11,4619902,4629489,TRIM68,11.97499315
ENSG00000167346.7_3,11,4726157,5013659,MMP26,0
ENSG00000167355.7_3,11,5326206,5526882,AC104389.28,0.154207027
ENSG00000167359.8_3,11,5461800,5462744,OR51I1,0.060290324
ENSG00000167360.4_2,11,5443341,5444436,OR51Q1,0.103967803
ENSG00000167363.13_3,17,80693451,80709073,FN3K,7.53379918
ENSG00000167371.17_3,16,29822703,29827213,PRRT2,8.018894089
ENSG00000167377.17_3,16,71481500,71496998,ZNF23,4.155601808
ENSG00000167378.8_3,19,44088521,44100287,IRGQ,5.585438212
ENSG00000167380.16_2,19,44669226,44682534,ZNF226,2.806740176
ENSG00000167384.10_2,19,44978645,45004576,ZNF180,1.953951157
ENSG00000167390.8_2,20,23969929,23971091,POM121L3P,0
ENSG00000167393.17_3,X,294698,347690,PPP2R3B,5.823834645
ENSG00000167393.17_3_PAR_Y,Y,244698,297690,PPP2R3B,0
ENSG00000167394.12_2,16,31072164,31085641,ZNF668,3.040562852
ENSG00000167395.10_3,16,31085743,31095517,ZNF646,5.034329341
ENSG00000167397.14_3,16,31102163,31107301,VKORC1,13.15792984
ENSG00000167414.4_2,19,47137333,47137942,GNG8,0
ENSG00000167419.10_3,17,56295909,56345879,LPO,0.983079986
ENSG00000167434.9_3,17,58227297,58248260,CA4,0.023504272
ENSG00000167447.12_3,17,57286761,57292608,SMG8,3.932931312
ENSG00000167459.16_2,19,16142117,16152926,LINC00905,0
ENSG00000167460.14_3,19,16177831,16213815,TPM4,26.65821985
ENSG00000167461.11_3,19,16222439,16245044,RAB8A,8.560970509
ENSG00000167468.16_3,19,1103925,1106790,GPX4,144.9614999
ENSG00000167470.12_3,19,1248552,1259139,MIDN,89.76758831
ENSG00000167476.10_2,19,2252251,2269758,JSRP1,61.88291623
ENSG00000167483.17_2,19,17634110,17664648,FAM129C,0.120344144
ENSG00000167487.11_3,19,18747775,18782524,KLHL26,3.580939842
ENSG00000167491.17_3,19,19496635,19619740,GATAD2A,11.20979831
ENSG00000167494.9_2,17,18400409,18409627,NOS2P2,0
ENSG00000167508.11_3,16,88718343,88729569,MVD,7.790642318
ENSG00000167513.8_2,16,88869621,88875666,CDT1,2.724043714
ENSG00000167515.10_2,16,88922628,88929094,TRAPPC2L,4.117013199
ENSG00000167522.14_3,16,89334035,89556969,ANKRD11,9.847564858
ENSG00000167523.13_2,16,89724210,89737680,SPATA33,7.367202703
ENSG00000167524.14_3,17,26934982,26941218,SGK494,2.180982758
ENSG00000167525.13_3,17,27030215,27038872,PROCA1,2.106010064
ENSG00000167526.13_2,16,89627065,89633236,RPL13,105.5161017
ENSG00000167528.12_3,12,48730963,48745197,ZNF641,2.25571118
ENSG00000167531.6_2,12,48961467,48963849,LALBA,0
ENSG00000167535.7_2,12,49207577,49222724,CACNB3,7.065043204
ENSG00000167536.13_2,17,27224799,27230089,DHRS13,4.286623614
ENSG00000167543.15_3,17,27893070,27900175,TP53I13,23.51906415
ENSG00000167548.14_3,12,49412758,49453557,KMT2D,11.51535327
ENSG00000167549.18_3,17,27941774,27949925,CORO6,1.971225704
ENSG00000167550.10_3,12,49458468,49463808,RHEBL1,5.785767965
ENSG00000167552.13_2,12,49578579,49583107,TUBA1A,211.667811
ENSG00000167553.15_3,12,49582519,49668386,TUBA1C,22.13277197
ENSG00000167554.14_2,19,52839498,52871031,ZNF610,1.188974159
ENSG00000167555.13_3,19,52901102,52921665,ZNF528,2.284317685
ENSG00000167562.12_3,19,53058710,53090427,ZNF701,2.167889686
ENSG00000167565.12_3,19,40946751,40950612,SERTAD3,14.82155256
ENSG00000167566.16_2,12,50184929,50222533,NCKAP5L,8.620100384
ENSG00000167578.17_3,19,41284121,41302843,RAB4B,13.24715382
ENSG00000167580.7_2,12,50344524,50352664,AQP2,0.582316301
ENSG00000167588.12_3,12,50497602,50505102,GPD1,3.176345346
ENSG00000167595.14_2,19,36249044,36261930,PROSER3,9.126522856
